[训练] Epoch 1, Step 350, Loss: 1.8718
[训练] Epoch 1, Step 351, Loss: 1.6899
[训练] Epoch 1, Step 352, Loss: 1.5913
[训练] Epoch 1, Step 353, Loss: 1.6638
[训练] Epoch 1, Step 354, Loss: 1.8390
[训练] Epoch 1, Step 355, Loss: 1.9915
[训练] Epoch 1, Step 356, Loss: 1.5034
[训练] Epoch 1, Step 357, Loss: 1.4736
[训练] Epoch 1, Step 358, Loss: 1.5098
[训练] Epoch 1, Step 359, Loss: 1.8335
[训练] Epoch 1, Step 360, Loss: 1.6688
[训练] Epoch 1, Step 361, Loss: 1.5583
[训练] Epoch 1, Step 362, Loss: 1.9989
[训练] Epoch 1, Step 363, Loss: 1.7133
[训练] Epoch 1, Step 364, Loss: 1.6340
[训练] Epoch 1, Step 365, Loss: 1.7238
[训练] Epoch 1, Step 366, Loss: 1.8676
[训练] Epoch 1, Step 367, Loss: 1.7456
[训练] Epoch 1, Step 368, Loss: 1.9428
[训练] Epoch 1, Step 369, Loss: 1.8110
[训练] Epoch 1, Step 370, Loss: 1.8778
[训练] Epoch 1, Step 371, Loss: 1.7972
[训练] Epoch 1, Step 372, Loss: 1.8807
[训练] Epoch 1, Step 373, Loss: 1.8869
[训练] Epoch 1, Step 374, Loss: 1.4149
[训练] Epoch 1, Step 375, Loss: 1.5849
[训练] Epoch 1, Step 376, Loss: 1.4586
[训练] Epoch 1, Step 377, Loss: 2.0921
[训练] Epoch 1, Step 378, Loss: 1.4287
[训练] Epoch 1, Step 379, Loss: 1.8369
[训练] Epoch 1, Step 380, Loss: 1.8188
[训练] Epoch 1, Step 381, Loss: 1.8068
[训练] Epoch 1, Step 382, Loss: 1.7052
[训练] Epoch 1, Step 383, Loss: 1.5866
[训练] Epoch 1, Step 384, Loss: 1.8845
[训练] Epoch 1, Step 385, Loss: 1.9528
[训练] Epoch 1, Step 386, Loss: 1.8318
[训练] Epoch 1, Step 387, Loss: 1.9045
[训练] Epoch 1, Step 388, Loss: 1.7172
[训练] Epoch 1, Step 389, Loss: 1.8428
[训练] Epoch 1, Step 390, Loss: 1.5307
[训练] Epoch 1, Step 391, Loss: 1.3104
[训练] Epoch 1, Step 392, Loss: 1.6359
[训练] Epoch 1, Step 393, Loss: 1.7546
[训练] Epoch 1, Step 394, Loss: 1.4998
[训练] Epoch 1, Step 395, Loss: 1.7819
[训练] Epoch 1, Step 396, Loss: 1.8371
[训练] Epoch 1, Step 397, Loss: 1.7175
[训练] Epoch 1, Step 398, Loss: 1.6071
[训练] Epoch 1, Step 399, Loss: 1.8860
[训练] Epoch 1, Step 400, Loss: 1.7668
[训练] Epoch 1, Step 401, Loss: 1.6137
[训练] Epoch 1, Step 402, Loss: 1.5558
[训练] Epoch 1, Step 403, Loss: 1.8049
[训练] Epoch 1, Step 404, Loss: 1.7958
[训练] Epoch 1, Step 405, Loss: 1.3735
[训练] Epoch 1, Step 406, Loss: 1.6162
[训练] Epoch 1, Step 407, Loss: 1.5047
[训练] Epoch 1, Step 408, Loss: 1.7370
[训练] Epoch 1, Step 409, Loss: 1.8607
[训练] Epoch 1, Step 410, Loss: 1.6383
[训练] Epoch 1, Step 411, Loss: 1.7147
[训练] Epoch 1, Step 412, Loss: 1.8106
[训练] Epoch 1, Step 413, Loss: 1.7241
[训练] Epoch 1, Step 414, Loss: 1.7494
[训练] Epoch 1, Step 415, Loss: 1.5069
[训练] Epoch 1, Step 416, Loss: 1.8795
[训练] Epoch 1, Step 417, Loss: 1.7969
[训练] Epoch 1, Step 418, Loss: 1.9228
[训练] Epoch 1, Step 419, Loss: 1.8506
[训练] Epoch 1, Step 420, Loss: 1.6463
[训练] Epoch 1, Step 421, Loss: 1.7996
[训练] Epoch 1, Step 422, Loss: 1.6285
[训练] Epoch 1, Step 423, Loss: 1.6492
[训练] Epoch 1, Step 424, Loss: 1.7257
[训练] Epoch 1, Step 425, Loss: 1.5846
[训练] Epoch 1, Step 426, Loss: 1.5587
[训练] Epoch 1, Step 427, Loss: 1.5562
[训练] Epoch 1, Step 428, Loss: 1.6601
[训练] Epoch 1, Step 429, Loss: 1.8431
[训练] Epoch 1, Step 430, Loss: 1.9825
[训练] Epoch 1, Step 431, Loss: 1.6224
[训练] Epoch 1, Step 432, Loss: 2.0289
[训练] Epoch 1, Step 433, Loss: 1.5616
[训练] Epoch 1, Step 434, Loss: 1.7263
[训练] Epoch 1, Step 435, Loss: 2.0137
[训练] Epoch 1, Step 436, Loss: 1.8194
[训练] Epoch 1, Step 437, Loss: 1.8108
[训练] Epoch 1, Step 438, Loss: 1.9142
[训练] Epoch 1, Step 439, Loss: 1.6012
[训练] Epoch 1, Step 440, Loss: 1.6205
[训练] Epoch 1, Step 441, Loss: 1.4426
[训练] Epoch 1, Step 442, Loss: 1.7748
[训练] Epoch 1, Step 443, Loss: 1.8684
[训练] Epoch 1, Step 444, Loss: 1.7718
[训练] Epoch 1, Step 445, Loss: 1.6653
[训练] Epoch 1, Step 446, Loss: 1.7902
[训练] Epoch 1, Step 447, Loss: 1.6194
[训练] Epoch 1, Step 448, Loss: 1.6865
[训练] Epoch 1, Step 449, Loss: 1.7142
[训练] Epoch 1, Step 450, Loss: 1.6979
[训练] Epoch 1, Step 451, Loss: 1.7664
[训练] Epoch 1, Step 452, Loss: 1.8145
[训练] Epoch 1, Step 453, Loss: 1.9897
[训练] Epoch 1, Step 454, Loss: 1.4387
[训练] Epoch 1, Step 455, Loss: 1.8183
[训练] Epoch 1, Step 456, Loss: 1.8541
[训练] Epoch 1, Step 457, Loss: 1.6873
[训练] Epoch 1, Step 458, Loss: 1.5064
[训练] Epoch 1, Step 459, Loss: 1.8732
[训练] Epoch 1, Step 460, Loss: 1.6465
[训练] Epoch 1, Step 461, Loss: 1.6518
[训练] Epoch 1, Step 462, Loss: 1.6551
[训练] Epoch 1, Step 463, Loss: 1.7125
[训练] Epoch 1, Step 464, Loss: 1.5889
[训练] Epoch 1, Step 465, Loss: 1.6304
[训练] Epoch 1, Step 466, Loss: 1.5226
[训练] Epoch 1, Step 467, Loss: 1.3429
[训练] Epoch 1, Step 468, Loss: 1.2850
[训练] Epoch 1, Step 469, Loss: 1.7998
[训练] Epoch 1, Step 470, Loss: 1.8585
[训练] Epoch 1, Step 471, Loss: 1.8366
[训练] Epoch 1, Step 472, Loss: 2.0107
[训练] Epoch 1, Step 473, Loss: 1.5689
[训练] Epoch 1, Step 474, Loss: 1.8122
[训练] Epoch 1, Step 475, Loss: 1.5702
[训练] Epoch 1, Step 476, Loss: 1.5316
[训练] Epoch 1, Step 477, Loss: 1.6667
[训练] Epoch 1, Step 478, Loss: 1.6549
[训练] Epoch 1, Step 479, Loss: 1.9081
[训练] Epoch 1, Step 480, Loss: 1.6795
[训练] Epoch 1, Step 481, Loss: 1.8891
[训练] Epoch 1, Step 482, Loss: 2.1210
[训练] Epoch 1, Step 483, Loss: 1.5523
[训练] Epoch 1, Step 484, Loss: 1.7980
[训练] Epoch 1, Step 485, Loss: 1.8032
[训练] Epoch 1, Step 486, Loss: 1.6614
[训练] Epoch 1, Step 487, Loss: 1.5171
[训练] Epoch 1, Step 488, Loss: 1.8338
[训练] Epoch 1, Step 489, Loss: 2.0046
[训练] Epoch 1, Step 490, Loss: 1.7192
[训练] Epoch 1, Step 491, Loss: 1.7697
[训练] Epoch 1, Step 492, Loss: 1.7820
[训练] Epoch 1, Step 493, Loss: 1.7266
[训练] Epoch 1, Step 494, Loss: 1.4963
